Query ID	Neighbor ID	Neighbor Pfam	SSN Query Cluster #	SSN Query Cluster Color	Query-Neighbor Distance	Query-Neighbor Directions
A0A3M7GBN8	A0A3M7GBD4	PF00005-PF00664	1	#FF0000	04	complement-normal
A0A3M7DN26	A0A3M7DNN8	PF00005-PF00664	1	#FF0000	04	complement-normal
A0A3M7CYX6	A0A3M7CY89	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A3M6W1Z7	A0A3M6YB62	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A3M7IQX7	A0A3M7IQW1	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A0D2IDC3	A0A0D2I5Z4	PF00005-PF00664	1	#FF0000	07	normal-normal
A0A0D2IDC3	A0A0D2I5Z8	PF00005-PF00664	1	#FF0000	02	normal-normal
A0A5N5LJG2	A0A5N5LJI4	PF00005-PF00664	1	#FF0000	07	normal-complement
A0A5N5NFN2	A0A5N5NEM1	PF00005-PF00664	1	#FF0000	07	normal-complement
A0A162KBP6	A0A167Y1E1	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A175VYM6	A0A175VZK4	PF00005-PF00664	1	#FF0000	08	normal-normal
A0A7D5Z9C4	A0A7D5ZBI0	PF00005-PF00664	1	#FF0000	07	normal-normal
A0A0D9NLT1	A0A0D9NLT5	PF00005-PF00664	1	#FF0000	05	complement-complement
A0A0B4FTS7	A0A0B4FTS2	PF00005-PF00664	1	#FF0000	05	normal-normal
A0A0A1UNJ1	A0A0A1UMS3	PF00005-PF00664	1	#FF0000	06	complement-complement
E9FCE7	E9FCF2	PF00005-PF00664	1	#FF0000	06	complement-complement
A0A0B4H9A8	A0A0B4HV84	PF00005-PF00664	1	#FF0000	07	complement-complement
A0A0B4GND8	A0A0B4HWY1	PF00005-PF00664	1	#FF0000	06	complement-complement
A0A1L9NEQ6	A0A1L9NEV3	PF00005-PF00664	1	#FF0000	07	complement-complement
A0A8H3T638	A0A8H3T4W7	PF00005-PF00664	1	#FF0000	08	complement-complement
A0A318YSV9	A0A318Y818	PF00005-PF00664	1	#FF0000	09	normal-normal
G3XMC2	G3XMB3	PF00005-PF00664	1	#FF0000	09	normal-normal
A0A370PH93	A0A370PHB4	PF00005-PF00664	1	#FF0000	09	complement-complement
A0A370BZG3	A0A370BTZ0	PF00005-PF00664	1	#FF0000	08	complement-complement
A0A254U189	A0A3F3R4B4	PF00005-PF00664	1	#FF0000	09	normal-normal
A0A401KKN1	A0A401KL81	PF00005-PF00664	1	#FF0000	08	complement-complement
A0A3F3PZT7	A0A3F3PZN4	PF00005-PF00664	1	#FF0000	09	normal-normal
A0A319A1Z4	A0A319A1Y3	PF00005-PF00664	1	#FF0000	10	normal-normal
G2QX49	G2QX55	PF00005-PF00664	1	#FF0000	06	complement-normal
A0A446BDX5	A0A446BE13	PF00005-PF00664	1	#FF0000	06	normal-complement
A0A318Z8J7	A0A318Z8S0	PF00005-PF00664	1	#FF0000	05	complement-normal
A0A319E6Y2	A0A319CWM2	PF00005-PF00664	1	#FF0000	05	normal-complement
A0A2V5HZ89	A0A2V5HSD2	PF00005-PF00664	1	#FF0000	06	complement-normal
A0A7C8L712	A0A7C8GW83	PF00005-PF00664	1	#FF0000	10	complement-normal
B6QSZ7	B6QSY8	PF00005-PF00664	1	#FF0000	09	complement-normal
A0A093VHS7	A0A093VHU0	PF00005-PF00664	1	#FF0000	10	normal-complement
A0A4S8S653	A0A4S8S6D3	PF00005-PF00664	1	#FF0000	02	normal-complement
A0A4S9KIT2	A0A4S9KK30	PF00005-PF00664	1	#FF0000	02	normal-complement
A0A4T0AHQ4	A0A4T0A9Y0	PF00005-PF00664	1	#FF0000	02	complement-normal
A0A4U0VK07	A0A4U0VJZ8	PF00005-PF00664	1	#FF0000	10	complement-complement
A0A4U0VK07	A0A4U0VLP1	PF00005-PF00664	1	#FF0000	02	complement-complement
A0A4U0U6P1	A0A4U0U8A0	PF00005-PF00664	1	#FF0000	02	complement-complement
A0A4U0XX27	A0A4U0XXH7	PF00005-PF00664	1	#FF0000	02	complement-complement
M2N1S1	M2MN92	PF00005-PF00664	1	#FF0000	04	complement-complement
A0A3M7GNG1	A0A3M7GNJ4	PF00005-PF00664	1	#FF0000	04	complement-normal
A0A3M6WI66	A0A3M6XZC9	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A3M7FI43	A0A3M7FJB7	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A1Z5TNS8	A0A1Z5TNS2	PF00005-PF00664	1	#FF0000	04	complement-normal
A0A3M7IJJ2	A0A3M7IJ60	PF00005-PF00664	1	#FF0000	04	complement-normal
A0A3M7GBN8	A0A3M7GBD4	PF00005-PF00664	1	#FF0000	04	complement-normal
A0A3M7DN26	A0A3M7DNN8	PF00005-PF00664	1	#FF0000	04	complement-normal
A0A3M7CYX6	A0A3M7CY89	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A3M6W1Z7	A0A3M6YB62	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A3M7IQX7	A0A3M7IQW1	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A0D2IDC3	A0A0D2I5Z4	PF00005-PF00664	1	#FF0000	07	normal-normal
A0A0D2IDC3	A0A0D2I5Z8	PF00005-PF00664	1	#FF0000	02	normal-normal
A0A5N5LJG2	A0A5N5LJI4	PF00005-PF00664	1	#FF0000	07	normal-complement
A0A5N5NFN2	A0A5N5NEM1	PF00005-PF00664	1	#FF0000	07	normal-complement
A0A162KBP6	A0A167Y1E1	PF00005-PF00664	1	#FF0000	04	normal-complement
A0A175VYM6	A0A175VZK4	PF00005-PF00664	1	#FF0000	08	normal-normal
A0A7D5Z9C4	A0A7D5ZBI0	PF00005-PF00664	1	#FF0000	07	normal-normal
A0A0D9NLT1	A0A0D9NLT5	PF00005-PF00664	1	#FF0000	05	complement-complement
A0A0B4FTS7	A0A0B4FTS2	PF00005-PF00664	1	#FF0000	05	normal-normal
A0A0A1UNJ1	A0A0A1UMS3	PF00005-PF00664	1	#FF0000	06	complement-complement
E9FCE7	E9FCF2	PF00005-PF00664	1	#FF0000	06	complement-complement
A0A0B4H9A8	A0A0B4HV84	PF00005-PF00664	1	#FF0000	07	complement-complement
A0A0B4GND8	A0A0B4HWY1	PF00005-PF00664	1	#FF0000	06	complement-complement
A0A1L9NEQ6	A0A1L9NEV3	PF00005-PF00664	1	#FF0000	07	complement-complement
A0A8H3T638	A0A8H3T4W7	PF00005-PF00664	1	#FF0000	08	complement-complement
A0A318YSV9	A0A318Y818	PF00005-PF00664	1	#FF0000	09	normal-normal
G3XMC2	G3XMB3	PF00005-PF00664	1	#FF0000	09	normal-normal
A0A370PH93	A0A370PHB4	PF00005-PF00664	1	#FF0000	09	complement-complement
A0A370BZG3	A0A370BTZ0	PF00005-PF00664	1	#FF0000	08	complement-complement
A0A254U189	A0A3F3R4B4	PF00005-PF00664	1	#FF0000	09	normal-normal
A0A401KKN1	A0A401KL81	PF00005-PF00664	1	#FF0000	08	complement-complement
A0A3F3PZT7	A0A3F3PZN4	PF00005-PF00664	1	#FF0000	09	normal-normal
A0A319A1Z4	A0A319A1Y3	PF00005-PF00664	1	#FF0000	10	normal-normal
G2QX49	G2QX55	PF00005-PF00664	1	#FF0000	06	complement-normal
A0A446BDX5	A0A446BE13	PF00005-PF00664	1	#FF0000	06	normal-complement
A0A318Z8J7	A0A318Z8S0	PF00005-PF00664	1	#FF0000	05	complement-normal
A0A319E6Y2	A0A319CWM2	PF00005-PF00664	1	#FF0000	05	normal-complement
A0A2V5HZ89	A0A2V5HSD2	PF00005-PF00664	1	#FF0000	06	complement-normal
A0A7C8L712	A0A7C8GW83	PF00005-PF00664	1	#FF0000	10	complement-normal
B6QSZ7	B6QSY8	PF00005-PF00664	1	#FF0000	09	complement-normal
A0A093VHS7	A0A093VHU0	PF00005-PF00664	1	#FF0000	10	normal-complement
A0A4S8S653	A0A4S8S6D3	PF00005-PF00664	1	#FF0000	02	normal-complement
A0A4S9KIT2	A0A4S9KK30	PF00005-PF00664	1	#FF0000	02	normal-complement
A0A4T0AHQ4	A0A4T0A9Y0	PF00005-PF00664	1	#FF0000	02	complement-normal
A0A8H5U0R5	A0A8H5U2Y5	PF00005-PF01061-PF06422-PF14510	1	#FF0000	07	complement-normal
A0A2U8U2L6	A0A2U8U2K9	PF00005-PF01061-PF06422-PF14510	1	#FF0000	06	complement-normal
A0A084B9Z5	A0A084BA03	PF00005-PF01061-PF06422-PF14510	1	#FF0000	08	normal-normal
A0A8H5U0R5	A0A8H5U2Y5	PF00005-PF01061-PF06422-PF14510	1	#FF0000	07	complement-normal
A0A2U8U2L6	A0A2U8U2K9	PF00005-PF01061-PF06422-PF14510	1	#FF0000	06	complement-normal
A0A084B9Z5	A0A084BA03	PF00005-PF01061-PF06422-PF14510	1	#FF0000	08	normal-normal
A0A8H5U0R5	A0A8H5U2Y5	PF00005-PF01061-PF06422-PF14510	1	#FF0000	07	complement-normal
A0A2U8U2L6	A0A2U8U2K9	PF00005-PF01061-PF06422-PF14510	1	#FF0000	06	complement-normal
A0A084B9Z5	A0A084BA03	PF00005-PF01061-PF06422-PF14510	1	#FF0000	08	normal-normal
A0A8H5U0R5	A0A8H5U2Y5	PF00005-PF01061-PF06422-PF14510	1	#FF0000	07	complement-normal
A0A2U8U2L6	A0A2U8U2K9	PF00005-PF01061-PF06422-PF14510	1	#FF0000	06	complement-normal
A0A084B9Z5	A0A084BA03	PF00005-PF01061-PF06422-PF14510	1	#FF0000	08	normal-normal
A0A194W0Y1	A0A194VYX2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	04	complement-complement
A0A8H5SSQ7	A0A8H5WG92	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	normal-complement
A0A397GND7	A0A397GRV2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	06	normal-complement
A0A423W563	A0A423W545	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	09	complement-normal
A0A4V1E8I5	A0A4P8GG95	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	complement-complement
A0A8K0QBF1	A0A8K0VIE8	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	03	normal-complement
A0A194W0Y1	A0A194VYX2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	04	complement-complement
A0A8H5SSQ7	A0A8H5WG92	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	normal-complement
A0A397GND7	A0A397GRV2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	06	normal-complement
A0A423W563	A0A423W545	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	09	complement-normal
A0A4V1E8I5	A0A4P8GG95	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	complement-complement
A0A8K0QBF1	A0A8K0VIE8	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	03	normal-complement
A0A194W0Y1	A0A194VYX2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	04	complement-complement
A0A8H5SSQ7	A0A8H5WG92	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	normal-complement
A0A397GND7	A0A397GRV2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	06	normal-complement
A0A423W563	A0A423W545	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	09	complement-normal
A0A4V1E8I5	A0A4P8GG95	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	complement-complement
A0A8K0QBF1	A0A8K0VIE8	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	03	normal-complement
A0A194W0Y1	A0A194VYX2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	04	complement-complement
A0A8H5SSQ7	A0A8H5WG92	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	normal-complement
A0A397GND7	A0A397GRV2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	06	normal-complement
A0A423W563	A0A423W545	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	09	complement-normal
A0A4V1E8I5	A0A4P8GG95	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	complement-complement
A0A8K0QBF1	A0A8K0VIE8	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	03	normal-complement
A0A194W0Y1	A0A194VYX2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	04	complement-complement
A0A8H5SSQ7	A0A8H5WG92	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	normal-complement
A0A397GND7	A0A397GRV2	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	06	normal-complement
A0A423W563	A0A423W545	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	09	complement-normal
A0A4V1E8I5	A0A4P8GG95	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	07	complement-complement
A0A8K0QBF1	A0A8K0VIE8	PF00005-PF01061-PF06422-PF14510-PF19055	1	#FF0000	03	normal-complement
A0A8J5NK68	A0A8J5NTJ0	PF00005-PF01061-PF06422-PF19055	1	#FF0000	09	normal-complement
A0A8J5NK68	A0A8J5NTJ0	PF00005-PF01061-PF06422-PF19055	1	#FF0000	09	normal-complement
A0A8J5NK68	A0A8J5NTJ0	PF00005-PF01061-PF06422-PF19055	1	#FF0000	09	normal-complement
A0A8J5NK68	A0A8J5NTJ0	PF00005-PF01061-PF06422-PF19055	1	#FF0000	09	normal-complement
A0A2S7PQ63	A0A2S7PQ48	PF00005-PF01061-PF19055	1	#FF0000	09	complement-normal
A0A4Z1PQ67	A0A4Z1PCG3	PF00005-PF01061-PF19055	1	#FF0000	08	complement-normal
A0A2S7PQ63	A0A2S7PQ48	PF00005-PF01061-PF19055	1	#FF0000	09	complement-normal
A0A4Z1PQ67	A0A4Z1PCG3	PF00005-PF01061-PF19055	1	#FF0000	08	complement-normal
A0A2S7PQ63	A0A2S7PQ48	PF00005-PF01061-PF19055	1	#FF0000	09	complement-normal
A0A4Z1PQ67	A0A4Z1PCG3	PF00005-PF01061-PF19055	1	#FF0000	08	complement-normal
A0A010QFV3	A0A010RD10	PF00005-PF12698	1	#FF0000	06	normal-complement
A0A135UN55	A0A135UN62	PF00005-PF12698	1	#FF0000	06	normal-complement
A0A135TYQ3	A0A135TYP8	PF00005-PF12698	1	#FF0000	03	normal-complement
A0A161WPF1	A0A166U933	PF00005-PF12698	1	#FF0000	06	normal-complement
A0A162N531	A0A162N587	PF00005-PF12698	1	#FF0000	07	complement-normal
A0A4T0WIM4	A0A4T0WI64	PF00005-PF12698	1	#FF0000	07	normal-complement
H1VFJ4	A0A1B7YEK0	PF00005-PF12698	1	#FF0000	08	complement-normal
A0A8H6KD05	A0A8H6NDD3	PF00005-PF12698	1	#FF0000	06	complement-normal
A0A010QFV3	A0A010RD10	PF00005-PF12698	1	#FF0000	06	normal-complement
A0A135UN55	A0A135UN62	PF00005-PF12698	1	#FF0000	06	normal-complement
A0A135TYQ3	A0A135TYP8	PF00005-PF12698	1	#FF0000	03	normal-complement
A0A161WPF1	A0A166U933	PF00005-PF12698	1	#FF0000	06	normal-complement
A0A162N531	A0A162N587	PF00005-PF12698	1	#FF0000	07	complement-normal
A0A4T0WIM4	A0A4T0WI64	PF00005-PF12698	1	#FF0000	07	normal-complement
H1VFJ4	A0A1B7YEK0	PF00005-PF12698	1	#FF0000	08	complement-normal
A0A8H6KD05	A0A8H6NDD3	PF00005-PF12698	1	#FF0000	06	complement-normal
A0A8K0X1W8	A0A8K0X1Y0	PF00005-PF12848	1	#FF0000	01	normal-normal
A0A167XZK9	A0A167XZD8	PF00005-PF12848	1	#FF0000	08	complement-normal
A0A8K0X1W8	A0A8K0X1Y0	PF00005-PF12848	1	#FF0000	01	normal-normal
A0A167XZK9	A0A167XZD8	PF00005-PF12848	1	#FF0000	08	complement-normal
A0A3M7N2I3	A0A3M7N371	PF00005-PF17947	1	#FF0000	06	normal-normal
A0A3M0WBT5	A0A3M0WBC7	PF00005-PF17947	1	#FF0000	05	normal-normal
A0A3M7N2I3	A0A3M7N371	PF00005-PF17947	1	#FF0000	06	normal-normal
A0A3M0WBT5	A0A3M0WBC7	PF00005-PF17947	1	#FF0000	05	normal-normal
A0A084GFZ0	A0A084GFY0	PF00006-PF02874	1	#FF0000	10	normal-normal
A0A084GFZ0	A0A084GFY0	PF00006-PF02874	1	#FF0000	10	normal-normal
A0A319DE13	A0A319DE26	PF00009	1	#FF0000	10	normal-normal
A0A317VA36	A0A317V985	PF00009	1	#FF0000	09	normal-normal
A0A1L9TYM8	A0A1L9TYL7	PF00009	1	#FF0000	10	normal-complement
A0A1L9PAZ1	A0A1L9PAY9	PF00009	1	#FF0000	09	normal-complement
A0A3D8RXB1	A0A3D8RWV9	PF00009	1	#FF0000	08	normal-complement
Q5BBG6	C8VLY6	PF00009	1	#FF0000	09	normal-complement
A0A0U5G2N7	A0A0U5G7D6	PF00009	1	#FF0000	08	normal-complement
A0A1L9R6U3	A0A1L9R6T1	PF00009	1	#FF0000	10	normal-complement
A0A017S3X2	A0A017S3Y2	PF00009	1	#FF0000	10	normal-normal
A0A7R7VY70	A0A7R7ZS37	PF00009	1	#FF0000	10	normal-normal
A0A074X9I9	A0A074WNF3	PF00009-PF03144-PF11987	1	#FF0000	09	complement-normal
A0A074X9I9	A0A074WNF3	PF00009-PF03144-PF11987	1	#FF0000	09	complement-normal
A0A074X9I9	A0A074WNF3	PF00009-PF03144-PF11987	1	#FF0000	09	complement-normal
A0A4Z1P2Q5	A0A4Z1NTP4	PF00009-PF04760-PF11987	1	#FF0000	03	normal-complement
A0A8H3Z7A1	A0A8H3VBF1	PF00009-PF04760-PF11987	1	#FF0000	03	normal-complement
A0A4Z1P2Q5	A0A4Z1NTP4	PF00009-PF04760-PF11987	1	#FF0000	03	normal-complement
A0A8H3Z7A1	A0A8H3VBF1	PF00009-PF04760-PF11987	1	#FF0000	03	normal-complement
A0A4Z1P2Q5	A0A4Z1NTP4	PF00009-PF04760-PF11987	1	#FF0000	03	normal-complement
A0A8H3Z7A1	A0A8H3VBF1	PF00009-PF04760-PF11987	1	#FF0000	03	normal-complement
F0XJI3	F0XJH3	PF00010	1	#FF0000	10	complement-complement
A0A5N5KDP0	A0A5N5KDN9	PF00011	1	#FF0000	10	complement-complement
A0A117NRJ7	A0A117NRI3	PF00011	1	#FF0000	02	normal-normal
A0A8H6X6C6	A0A8H7CES4	PF00012	1	#FF0000	03	complement-normal
A0A6H0Y0J6	A0A6H0Y0J0	PF00013	1	#FF0000	10	complement-complement
A0A423VWW8	A0A423VX02	PF00013	1	#FF0000	08	complement-complement
A0A3D8RVV1	A0A3D8RVN4	PF00013	1	#FF0000	04	normal-normal
A0A3D8SFA0	A0A3D8SFG5	PF00013	1	#FF0000	04	complement-complement
A0A1W5CXF4	A0A1W5CWT1	PF00013	1	#FF0000	05	normal-complement
A0A5M8PVE0	A0A1W5CWT1	PF00013	1	#FF0000	06	normal-complement
A0A8H6XAJ8	A0A8H6XBK4	PF00018	1	#FF0000	01	complement-complement
A0A0D2K908	A0A0D2JQS1	PF00018-PF03983	1	#FF0000	09	complement-complement
A0A178BNR4	A0A178BMF6	PF00018-PF03983	1	#FF0000	09	complement-complement
A0A0D2APR3	A0A0D2DFX7	PF00018-PF03983	1	#FF0000	10	normal-normal
W9Y867	W9Y7B6	PF00018-PF03983	1	#FF0000	09	normal-normal
A0A0D2K908	A0A0D2JQS1	PF00018-PF03983	1	#FF0000	09	complement-complement
A0A178BNR4	A0A178BMF6	PF00018-PF03983	1	#FF0000	09	complement-complement
A0A0D2APR3	A0A0D2DFX7	PF00018-PF03983	1	#FF0000	10	normal-normal
W9Y867	W9Y7B6	PF00018-PF03983	1	#FF0000	09	normal-normal
A0A0D2GG73	A0A0D2GYV4	PF00018-PF03983-PF08226	1	#FF0000	09	normal-normal
A0A178D3Y3	A0A178D2Y2	PF00018-PF03983-PF08226	1	#FF0000	09	complement-complement
A0A177F730	A0A177F8C4	PF00018-PF03983-PF08226	1	#FF0000	09	complement-complement
W9X2A1	W9XBA6	PF00018-PF03983-PF08226	1	#FF0000	08	normal-normal
A0A0D2BU63	A0A0D2ACN4	PF00018-PF03983-PF08226	1	#FF0000	10	complement-complement
A0A0D2GG73	A0A0D2GYV4	PF00018-PF03983-PF08226	1	#FF0000	09	normal-normal
A0A178D3Y3	A0A178D2Y2	PF00018-PF03983-PF08226	1	#FF0000	09	complement-complement
A0A177F730	A0A177F8C4	PF00018-PF03983-PF08226	1	#FF0000	09	complement-complement
W9X2A1	W9XBA6	PF00018-PF03983-PF08226	1	#FF0000	08	normal-normal
A0A0D2BU63	A0A0D2ACN4	PF00018-PF03983-PF08226	1	#FF0000	10	complement-complement
A0A0D2GG73	A0A0D2GYV4	PF00018-PF03983-PF08226	1	#FF0000	09	normal-normal
A0A178D3Y3	A0A178D2Y2	PF00018-PF03983-PF08226	1	#FF0000	09	complement-complement
A0A177F730	A0A177F8C4	PF00018-PF03983-PF08226	1	#FF0000	09	complement-complement
W9X2A1	W9XBA6	PF00018-PF03983-PF08226	1	#FF0000	08	normal-normal
A0A0D2BU63	A0A0D2ACN4	PF00018-PF03983-PF08226	1	#FF0000	10	complement-complement
