,UniProt ID,Cluster Number,Cluster Color,Taxonomy ID,Species
30,Q0CCC0,1,#FF0000,341663,Aspergillus terreus (strain NIH 2624 / FGSC A1156)
31,Q2TXK0,1,#FF0000,510516,Aspergillus oryzae (strain ATCC 42149 / RIB 40)
32,A0A1V1T7C7,2,#0000FF,1813822,Xylariales sp. No.14919.
33,A0A254U5P6,2,#0000FF,5061,Aspergillus niger.
34,A0A2T3A268,2,#0000FF,2025994,Coniella lustricola.
35,A0A319B5Q2,2,#0000FF,1450533,Aspergillus lacticoffeatus (strain CBS 101883)
36,A0A319DW48,2,#0000FF,1448320,Aspergillus ellipticus CBS 707.79.
37,A0A370BZT7,2,#0000FF,1353008,Aspergillus niger ATCC 13496.
38,A0A370PHA7,2,#0000FF,1353007,Aspergillus phoenicis ATCC 13157.
39,A0A3F3PZM3,2,#0000FF,1341132,Aspergillus welwitschiae.
40,A0A439CSY1,2,#0000FF,363999,Xylaria grammica.
41,A0A446BKW4,2,#0000FF,2587410,Thermothielavioides terrestris.
42,A0A4Q4TNJ4,2,#0000FF,2211647,Monosporascus sp. GIB2.
43,A0A4Q4VSC2,2,#0000FF,2211646,Monosporascus sp. MC13-8B.
44,A0A4Q4VTY6,2,#0000FF,2211645,Monosporascus sp. MG133.
45,A0A5N7ARN3,2,#0000FF,1226010,Aspergillus bertholletiae.
46,A0A7G6J4F8,2,#0000FF,63214,Hypoxylon fragiforme.
47,A0A8H6CFX7,2,#0000FF,560253,Letharia lupina.
48,A2QTE3,2,#0000FF,425011,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)
49,G2R8U5,2,#0000FF,578455,Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126)
50,G3XMB8,2,#0000FF,380704,Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 /NCTC 3858a / NRRL 328 / USDA 3528.7)
51,A0A117E0B7,3,#FFA500,5061,Aspergillus niger.
52,A0A146F910,3,#FFA500,1069201,Aspergillus kawachii
53,A0A1L9N0X0,3,#FFA500,767770,Aspergillus tubingensis (strain CBS 134.48)
54,A0A1L9V1P5,3,#FFA500,767769,Aspergillus brasiliensis (strain CBS 101740 / IMI 381727 / IBT 21946)
55,A0A1M3TVR2,3,#FFA500,1137211,Aspergillus luchuensis (strain CBS 106.47)
56,A0A254UFA0,3,#FFA500,5061,Aspergillus niger.
57,A0A317W759,3,#FFA500,1448314,Aspergillus eucalypticola (strain CBS 122712 / IBT 29274)
58,A0A318YRU5,3,#FFA500,1448310,Aspergillus neoniger (strain CBS 115656)
59,A0A319ABX1,3,#FFA500,1450533,Aspergillus lacticoffeatus (strain CBS 101883)
60,A0A319B6N7,3,#FFA500,1448311,Aspergillus vadensis (strain CBS 113365 / IMI 142717 / IBT 24658)
61,A0A370BZX3,3,#FFA500,1353008,Aspergillus niger ATCC 13496.
62,A0A370P9N5,3,#FFA500,1353007,Aspergillus phoenicis ATCC 13157.
63,A0A3F3QA97,3,#FFA500,1341132,Aspergillus welwitschiae.
64,A0A401KMN5,3,#FFA500,105351,Aspergillus awamori
65,A0A8G1QX14,3,#FFA500,1448313,Aspergillus piperis CBS 112811.
66,A0A8H3SWC1,3,#FFA500,5068,Aspergillus tubingensis.
67,A2QWG4,3,#FFA500,425011,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)
68,G3YCY2,3,#FFA500,380704,Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 /NCTC 3858a / NRRL 328 / USDA 3528.7)
69,G7XA71,3,#FFA500,1033177,Aspergillus kawachii (strain NBRC 4308)
70,A0A117E332,4,#008000,5061,Aspergillus niger.
71,A0A146FG76,4,#008000,1069201,Aspergillus kawachii
72,A0A1L9NH15,4,#008000,767770,Aspergillus tubingensis (strain CBS 134.48)
73,A0A1R3R8X0,4,#008000,602072,Aspergillus carbonarius (strain ITEM 5010)
74,A0A319DRN6,4,#008000,1448318,Aspergillus sclerotiicarbonarius (strain CBS 121057 / IBT 28362)
75,A0A395GP80,4,#008000,1448316,Aspergillus ibericus CBS 121593.
76,A0A3F3RE72,4,#008000,5061,Aspergillus niger.
77,A0A401KPH4,4,#008000,105351,Aspergillus awamori
78,A0A8G1VV24,4,#008000,1448313,Aspergillus piperis CBS 112811.
79,A0A8H3SQ38,4,#008000,5068,Aspergillus tubingensis.
80,A2QYP9,4,#008000,425011,Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)
81,G3XUL8,4,#008000,380704,Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 /NCTC 3858a / NRRL 328 / USDA 3528.7)
82,G7XZR8,4,#008000,1033177,Aspergillus kawachii (strain NBRC 4308)
83,A0A1L9PY40,5,#FF00FF,1036611,Aspergillus versicolor CBS 583.65.
84,A0A1Y2VTH8,5,#FF00FF,1001833,Hypoxylon sp. CI-4A.
85,A0A1Z1CBD7,5,#FF00FF,180999,Cladonia uncialis subsp. uncialis.
86,A0A3S4C3V4,5,#FF00FF,2587410,Thermothielavioides terrestris.
87,A0A5M3YXK2,5,#FF00FF,33178,Aspergillus terreus.
88,A0A5N6TQ87,5,#FF00FF,36643,Aspergillus avenaceus.
89,A0A7R7VV11,5,#FF00FF,182096,Aspergillus chevalieri
90,G2QX39,5,#FF00FF,578455,Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126)
91,Q2GPS6,5,#FF00FF,306901,Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 /NRRL 1970)
92,S3CQD4,5,#FF00FF,1116229,Glarea lozoyensis (strain ATCC 20868 / MF5171)
93,U1HR81,5,#FF00FF,1263415,Endocarpon pusillum (strain Z07020 / HMAS-L-300199)
94,A0A093Y4W5,6,#00FFFF,1391699,Pseudogymnoascus sp. VKM F-3808.
95,A0A093YIF8,6,#00FFFF,1437433,Pseudogymnoascus sp. VKM F-3557.
96,A0A094EQW5,6,#00FFFF,1420912,Pseudogymnoascus sp. VKM F-103.
97,A0A094I173,6,#00FFFF,1420914,Pseudogymnoascus sp. VKM F-4519
98,A0A0C3C5D9,6,#00FFFF,913774,Oidiodendron maius (strain Zn)
99,A0A1B8D0B8,6,#00FFFF,1622150,Pseudogymnoascus sp. 24MN13.
100,A0A1B8EV81,6,#00FFFF,1622149,Pseudogymnoascus sp. 05NY08.
101,A0A2P2SZM4,6,#00FFFF,342668,Pseudogymnoascus verrucosus.
102,A0A397HX43,6,#00FFFF,1245748,Aspergillus turcosus.
103,A0A3R7IEJ6,6,#00FFFF,1245748,Aspergillus turcosus.
104,A0A1L9WVX4,7,#FFC0CB,690307,Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)
105,A0A2V5GYC9,7,#FFC0CB,1450538,Aspergillus violaceofuscus (strain CBS 115571)
106,A0A2V5J1Z7,7,#FFC0CB,1450541,Aspergillus indologenus CBS 114.80.
107,A0A319CX72,7,#FFC0CB,1448315,Aspergillus uvarum CBS 121591.
108,A0A395HHI3,7,#FFC0CB,1450537,Aspergillus homomorphus (strain CBS 101889)
109,A0A8G1RV46,7,#FFC0CB,1448319,Aspergillus fijiensis CBS 313.89.
110,A0A8T8WQD0,7,#FFC0CB,1448312,Aspergillus japonicus CBS 114.51.
111,A0A0I9YQN0,8,#FF69B4,5127,Gibberella fujikuroi
112,A0A1L7TY78,8,#FF69B4,192010,Fusarium mangiferae
113,A0A1L7VX83,8,#FF69B4,1227346,Fusarium proliferatum (strain ET1)
114,A0A365NBP1,8,#FF69B4,948311,Gibberella intermedia
115,A0A420TJM1,8,#FF69B4,948311,Gibberella intermedia
116,A0A8J5NKV5,8,#FF69B4,485398,Fusarium oxysporum f. sp. rapae.
117,S0EQ09,8,#FF69B4,1279085,Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831)
118,A0A093V6G8,9,#808000,1077442,Talaromyces marneffei PM1.
119,A0A1Q5Q6X6,9,#808000,1441469,Talaromyces atroroseus.
120,A0A2H3IGJ0,9,#808000,290292,Penicillium occitanis
121,A0A364KVJ1,9,#808000,1196081,Talaromyces amestolkiae.
122,A0A698XLP4,9,#808000,128442,Talaromyces pinophilus
123,B6QKB0,9,#808000,441960,Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333)
124,B8LV28,9,#808000,441959,Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL1006)
125,A0A135LJ73,10,#FA8072,5078,Penicillium patulum
126,A0A1T3CAB9,10,#FA8072,1491466,Trichoderma guizhouense.
127,A0A2K0U218,10,#FA8072,5544,Trichoderma harzianum
128,A0A2N1LJS4,10,#FA8072,5544,Trichoderma harzianum
129,A0A2T3ZTT3,10,#FA8072,983964,Trichoderma harzianum CBS 226.95.
130,A0A8G0LBC1,10,#FA8072,1491479,Trichoderma simmonsii.
131,A0A094B1C4,11,#EE82EE,1420907,Pseudogymnoascus sp. VKM F-4513
132,A0A176ZZD0,11,#EE82EE,655981,Pseudogymnoascus destructans.
133,A0A2V1D7J0,11,#EE82EE,97972,Periconia macrospinosa.
134,A0A3D8QB36,11,#EE82EE,1849047,Coleophoma cylindrospora.
135,A0A3M7MKX8,11,#EE82EE,2249419,Chaetothyriales sp. CBS 132003.
136,L8FVB9,11,#EE82EE,658429,Pseudogymnoascus destructans (strain ATCC MYA-4855 / 20631-21)
137,A0A0F8UU93,12,#006400,308745,Aspergillus rambellii.
138,A0A1L9PHH1,12,#006400,1036611,Aspergillus versicolor CBS 583.65.
139,A0A1L9TQ64,12,#006400,1036612,Aspergillus sydowii CBS 593.65.
140,A0A1U8QXM0,12,#006400,227321,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 /M139)
141,A0A2T5M0L2,12,#006400,1392256,Aspergillus ochraceoroseus IBT 24754.
142,Q5B7U6,12,#006400,227321,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 /M139)
143,A0A423VWY4,13,#00FF00,252740,Valsa sordida.
144,A0A7T6XS94,13,#00FF00,36651,Penicillium digitatum
145,K9FBX2,13,#00FF00,1170229,Penicillium digitatum (strain PHI26 / CECT 20796)
146,K9GL50,13,#00FF00,1170230,Penicillium digitatum (strain Pd1 / CECT 20795)
147,A0A8H6J1V9,14,#B259B2,2175907,Colletotrichum sojae.
148,A0A8H6JCH8,14,#B259B2,2175906,Colletotrichum plurivorum.
149,A0A8H6NAE6,14,#B259B2,2175873,Colletotrichum musicola.
150,A0A2I1CS63,15,#003366,1392248,Aspergillus campestris (strain IBT 28561)
151,A0A2I2FA74,15,#003366,41067,Aspergillus candidus.
152,A0A2J5I6Q7,15,#003366,482145,Aspergillus taichungensis.
153,A0A6M7ZEV5,16,#7FFFBF,660027,Fusarium oxysporum Fo47.
154,W9JG54,16,#7FFFBF,660027,Fusarium oxysporum Fo47.
155,A0A319A9H2,17,#8000FF,1450539,Aspergillus saccharolyticus JOP 1030-1.
156,A0A319CRJ8,17,#8000FF,1448315,Aspergillus uvarum CBS 121591.
157,A0A2W1G1Y8,18,#B25900,45151,Pyrenophora tritici-repentis.
158,K2S3X9,18,#B25900,1126212,Macrophomina phaseolina (strain MS6)
159,A0A194VYW6,19,#592C00,105487,Valsa mali.
160,A0A423W149,19,#592C00,356882,Valsa malicola.
161,A0A094J5P9,20,#800000,1420915,Pseudogymnoascus sp. VKM F-4520
162,A0A364L9X5,20,#800000,1196081,Talaromyces amestolkiae.
163,A0A1J7IXX0,21,#0080FF,1408157,Coniochaeta ligniaria NRRL 30616.
164,Q2GWL7,21,#0080FF,306901,Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 /NRRL 1970)
